ProgID,OrgName,ProgName,HEPgoal,IndicGrp,Indicator,ProgObjectv,QAPP,SpatExtnt,TempExtnt,Freq,Reference,Contact
NOAAbio,National Oceanic and Atmospheric Administration,Magnitude and Extent of Sediment Toxicity,Port and Maritime,Toxics,"PCBs, Metals in Sediment",Determine the presence and severity of toxic responses; estimate the spatial extent/patterns of toxicity,,Hudson-Raritan Estuary - 117 sites,1991,Varies,https://products.coastalscience.noaa.gov/collections/ltmonitoring/nsandt/data2.aspx,"Greg Piniak, greg.piniak@noaa.gov"
NOAAben,National Oceanic and Atmospheric Administration,Benthic Surveillance,Port and Maritime,Toxics,"PCBs, Metals in Sediment",To detect any long-term trends in the environmental quality of nearshore waters,,Long Island Sound & Raritan Bay - 13 sites,1984-1993,"Every 2 years, 1-5 samples",https://products.coastalscience.noaa.gov/collections/ltmonitoring/nsandt/data2.aspx,NCCOS.data@noaa.gov
NOAAmussel,National Oceanic and Atmospheric Administration,Mussel Watch,Port and Maritime,Toxics,"PCBs, PAHs in Sediment",To evaluate the chemical and microbial contamination status of the estuaries and coasts of the US,,"Battery Park, Brown Island, Fort Wadsworth, Jamaica Bay, Liberty Island, Lower Bay, Raritan Bay, Sandy Hook, Upper Bay",1985-2011,,https://products.coastalscience.noaa.gov/collections/ltmonitoring/nsandt/data2.aspx,"Greg Piniak, greg.piniak@noaa.gov"
DECcontam,NY State Dept. of Environmental Conservation,Contaminant Monitoring Program,Port and Maritime,Toxics,"PCBs, Metals in Sediment","Biological monitoring related to contaminant track down, fish consumption advisories, contaminated site cleanup, and biotic disturbances",,Hudson River - 6 sites,"1977-2016 annually, varies; 2017, ongoing","1x per year, every other year ",http://www.dec.ny.gov/animals/62194.html,"Wayne Richter, 518-402-8974, wayne.richter@dec.ny.gov"
ACEhars,"US Army Corp of Engineers, US Environmental Protection Agency",Historic Area Remediation Site (HARS),Port and Maritime,Toxics,"PCBs, Metals in Sediment, PAHs in Sediment, Dioxin in Sediment",To assess for ecological impacts (biological/physical); stability of the mounds and caps,Monitoring Plan,NY Harbor,"Initiated 1997, ongoing",Ongoing,http://www.nan.usace.army.mil/Missions/Navigation/Historic-Area-Remediation-Site-HARS/,"Lisa Baron, Lisa.A.Baron@usace.army.mil"
EPAsuper,US Environmental Protection Agency,Superfund Program,Port and Maritime,Toxics,"PCBs, Dioxin in Sediments, PAHs in Sediment, Metals in Sediment",Cleaning up the nationís most contaminated land,,"Nationwide; Hudson River, Passaic River, Chemours Pompton Lakes Works Site, Gowanus Canal, Newtown Creek",Varies,Varies,https://www.epa.gov/superfund,"Elizabeth Butler, butler.elizabeth@epa.gov"
HEPbotlau,Waterfront Alliance,On-Water Programs Survey,Public Access and Stewardship,Stewardship,On-Water Programs,"Survey of boathouses/organizations reported on types of programs provided, fees, and number of participants over time",,Harbor Estuary,2010-2017,1x,http://harborestuary.org/aboutestuary-rec.htm,"Louis Kleinman, 212-935-9831 x104, lkleinman@waterfrontalliance.org; Elizabeth Balladares, 212-483-7667, eballadares@hudsonriver.org"
BXRA,Bronx River Alliance,Ecological Restoration,Water Quality,"Dissolved Oxygen, Nutrients, Pathogens, In Situ Parameters","Enterococcus, Nitrogen, Dissolved Oxygen, pH, Water Temperature, Salinity",Inform analysis of fecal and/or nutrient pollution sources and concentrations,"QAPP 2014, 2015, 2017",Bronx River - 26 sites,"Initiated 2014, ongoing",Minimum of 20 samples per season (May-Oct),http://bronxriverwater.org/index.php?id=2&station=SWS-01,"Michelle Luebke, 718.430.4690, michelle.luebke@bronxriver.org"
CUNYLam,"CUNY Queens College, Lamont-Doherty Earth Observatory",Hudson River Tributary Water Quality Monitoring,Water Quality,"Dissolved Oxygen, Pathogens, In Situ Parameters","Enterococcus, Dissolved Oxygen, pH, Water Temperature, Salinity",Measure fecal indicator bacteria and engage the public,QAPP 2017,Hudson River - 74 sites,"2017, ongoing","1x per month, May-Oct",https://www.riverkeeper.org/water-quality/citizen-data/,"Greg O'Mullan, gregory.omullan@qc.cuny.edu; Andrew Juhl, andyjuhl@ldeo.columbia.edu"
FVCP,Friends of Van Cortlandt Park,Tibbetts Brook Water Quality Monitoring,Water Quality,"Pathogens, Nutrients, In Situ Parameters","Enterococcus, Fecal coliform, Nitrate, Phosphorous, Turbidity",To understand human impacts on the aquatic system,QAPP,Tibbetts Brook & Van Cortlandt Lake - 5 sites,"Initiated 2016, ongoing",Alternating weeks,http://vancortlandt.org/tibbetts/,"John Butler, john@vancortlandt.org"
IECcivic,Interstate Environmental Commission,Coordinated Volunteer Pathogen Monitoring Program,Water Quality,"Dissolved Oxygen, Pathogens, In Situ Parameters","Dissolved Oxygen, Enterococcus, Fecal coliform, Water Temperature, pH, Salinity",Near-shore pathogen monitoring in under-monitored areas,QAPP 2017,Staten Island & Liberty State Park - 10 sites,2017,5x per month,http://www.epa.gov/storet/,"Jessica Bonamusa, jbonamusa@iec-nynjct.org"
IECpassic,Interstate Environmental Commission,Passaic and Second River,Water Quality,"Pathogens, In Situ Parameters","Enterococcus, Fecal coliform, Water Temperature, pH, Turbidity, Salinity",Pathogen track down,QAPP 2017,Passaic & Second River - ~39 sites,2016: ~15 surveys & targeted follow-up,"5X per month, Aug-Oct 2016; targeted sampling 2017",http://www.epa.gov/storet/,"Evelyn Powers, epowers@iec-nynjct.org"
MCHDawq,Monmouth County Health Dept.,Ambient Surface Water Quality Monitoring Program,Water Quality,"Dissolved Oxygen, Nutrients, In Situ Parameters","Dissolved Oxygen, Nitrogen, Nitrate, Ammonia, Phosphorous, Water Temperature, pH, Turbidity",Support NJDEP and local watershed initiatives; track water quality trends; establish background water quality; obtain water quality data which can be correlated with specific land uses; coordinate the collection of bacterial data with NCCA,"QAPP 2017, 2018","Deal Lake, Wesly-Fletcher-Sylvan, Whale Pond Brook with site variations","Initiated 1987, ongoing","4 or 8x per year: Feb-March, May-June, Aug-Sept, Nov-Dec", https://mcapps.co.monmouth.nj.us/Web/HealthDept/Ambients.asp; https://co.monmouth.nj.us/page.aspx?ID=2343,"David Sorensen, 732-431-7456, david.sorensen@co.monmouth.nj.us"
MCHDccm,Monmouth County Health Dept.,Cooperative Coastal Monitoring Program,Water Quality,Pathogens,Enterococcus,Monitoring coastal waters,"QAPP 2017, 2018",Raritan Bay & Sandy Hook Bay - 48 sites,"Initiated 2004, ongoing",Weekly- seasonally; Monthly- off-season,https://www.njbeaches.org/,"David Sorensen, 732-431-7456, david.sorensen@co.monmouth.nj.us"
NPSgate,National Park Services,Gateway National Recreation Area,Water Quality,Pathogens,Enterococcus,To monitor public beaches; trends in water quality; data for the evaluation and review of fish/wildlife management and visitor public health and safety,,"Jamaica Bay, Staten Island, Sandy Hook","1977-2003, varies by indicator",Varies,https://irma.nps.gov/DataStore/Reference/Profile/617517 a,"Mark Ringenary, 718-354-4545, mark_ringenary@nps.gov; Dean Tucker, 973-225-3516, dean_tucker@nps.gov"
NJHDGamb,New Jersey Harbor Dischargers Group,Ambient Monitoring,Water Quality,"Dissolved Oxygen, Pathogens, Nutrients, In Situ Parameters","Dissolved Oxygen, Fecal coliform, Enterococcus, Nitrogen, Nitrate, Nitrite, Ammonia, Phosphorous, Water Temperature, pH, Salinity, Transparency (secchi), Chlorophyll a",Develop a comprehensive database on the existing water quality of the NY/NJ Harbor,"QAPP 2015, 2016, 2017, 2018","Hackensack River, Newark Bay, Passaic River (both saline & fresh water), Elizabeth River, Raritan River, Raritan Bay, Hudson River, Arthur Kill - 34 sites","Initiated 2004, ongoing","Monthly Oct-April, bi-weekly May-June, weekly July-Sept",http://www.nj.gov/pvsc/what/njhdg/,"Greg Alber, GAlber@pvsc.com"
NCA,Newtown Creek Alliance,Water Quality Monitoring,Water Quality,"Dissolved Oxygen, Nutrients, In Situ Parameters","Dissolved Oxygen, Phosphorous, Water Temperature, Salinity",Tracking parameters and analyzing factors like rainfall and temperature to understand where water quality varies and why,,Newtown Creek - 7 sites,"Initiated 2016, ongoing",4 to 8x per month for 26 weeks per year,http://www.newtowncreekalliance.org/water-quality-sampling/,"Willis Elkins, welkins@newtowncreekalliance.org"
NJDEPrealt,NJ Dept. of Environmental Protection,Real-time Continuous Water Quality Monitoring,Water Quality,"Dissolved Oxygen, In Situ Parameters","Dissolved Oxygen, Water Temperature, Salinity, Chlorophyll a, Turbidity, pH",Real-time continuous water quality monitoring by buoy,,Keyport Harbor & Keansburg - 2 sites,"Initiated 2017, ongoing","15 minute intervals, annually June-Nov",http://njdep.rutgers.edu/continuous/,"Robert Schuster, Robert.Schuster@dep.nj.gov"
NJDEPshell,NJ Dept. of Environmental Protection,Monitoring and Standards,Water Quality,"Dissolved Oxygen, Pathogens, In Situ Parameters","Dissolved Oxygen, Fecal coliform, Water Temperature",Monitoring shellfish growing waters to determine whether and how the harvest of shellfish from those waters must be restricted to protect the public from health risks associated with the consumption of shellfish,QAPP,"Raritan Bay, Sandy Hook Bays, Navesink River (seasonal), Shrewsbury River","Initiated 1912, ongoing",Reactive Routine sampling 10x per year,https://www.nj.gov/dep/bmw/nssphome.html,"Robert Schuster, Robert.Schuster@dep.nj.gov"
NJDEPnut,NJ Dept. of Environmental Protection,Coastal Water Quality Network (CWQN),Water Quality,"Dissolved Oxygen, Pathogens, Nutrients, In Situ Parameters","Dissolved Oxygen, Enterococcus, Nitrogen, Nitrite, Ammonia, Phosphorous, Chlorophyll a, pH, Salinity, Turbidity","Provides water quality information for assessing the ecological health the condition of the State's ocean, estuaries, and tidal rivers",QAPP 2017,Raritan & Sandy Hook Bays,"Initiated 1989, ongoing",5-10x per year per site,http://www.nj.gov/dep/bmw/coastalwaterquality.htm,"Robert Schuster, Robert.Schuster@dep.nj.gov"
NJCCM,NJ Dept. of Environmental Protection,NJ Cooperative Coastal Monitoring Program,Water Quality,Pathogens,Enterococcus,Evaluate nearshore coastal water quality,"QAPP 2013, 2014, 2015, 2017, 2018","Monmouth & Ocean County: rivers, bays, & ocean from Middletown to Highlands","Initiated 1985, ongoing",Weekly  mid-May to mid-Sept,https://www.njbeaches.org/#reports,"Sheri Shifren, sheri.shifren@dep.nj.gov"
HRECOS,NY State Dept. of Environmental Conservation,Hudson River Environmental Conditions Observing System,Water Quality,"Dissolved Oxygen, In Situ Parameters","Dissolved Oxygen, Water Temperature, Salinity, Turbidity, pH","Understand the ecosystem and manage water resources; provide baseline monitoring data; support the use of real-time data; provide information for safe, efficient commercial use, recreational activities, and policy makers",QAPP 2013,"Passaic River, Newark Bay, Hudson River - 6 sites","Initiated 2008, ongoing (varies by station)","Continuous, every 15 minutes (some stations seasonal)",www.hrecos.org,"Zachary M. Smith, 518-402-8235, zachary.smith2@dec.ny.gov"
DECLCI,NY State Dept. of Environmental Conservation,Lake Classification Inventory,Water Quality,"Dissolved Oxygen, Nutrients, In Situ Parameters","Dissolved Oxygen, Nitrogen, Nitrate, Ammonia, Phosphorous, Water Temperature, pH, Chlorophyll a",Monitoring data used to update the Division’s Waterbody Inventory/Priority Waterbody List,QAPP,"Hudson River Basin, Allegheny River Basin, Oswego River Basin, Chemung River Basin, Black River Basin - 94 lakes",,3-4 screening basins per year; 3-4 intensive basins per year,,"Scott Kishbaugh, DOWinformation@dec.ny.gov"
NYCDEPhw,NYC Dept. of Environmental Protection,Harbor Survey Program,Water Quality,"Dissolved Oxygen, Pathogens, In Situ Parameters","Dissolved Oxygen, Fecal coliform, Enterococcus, Transparency (secchi)",Sampling ambient waterbody stations to assess overall water quality,,NYC waterways & tributaries -70 sites with additions,"Initiated 1909, ongoing",Weekly June-Sept; Monthly Oct-May,https://data.cityofnewyork.us/Environment/Harbor-Water-Quality/5uug-f49n/data; http://www.nyc.gov/html/dep/html/harborwater/harbor_water_sampling_results.shtml,"Beau Ranheim, 212-860-9378, branheim@dep.nyc.gov"
NYCDEPbeac,NYC Dept. of Environmental Protection,Beach Surveillance and Monitoring Program,Water Quality,Pathogens,Enterococcus,Routine water quality monitoring and inspections of beach facilities,,"Lower New York Harbor, Eastchester Bay, Western Long Island Sound, Atlantic Ocean, Lower New York Bay - 25 beaches (8 public, 17 private) ",Ongoing & seasonal from April-Sept,Weekly/bi-weekly,http://www1.nyc.gov/site/doh/health/health-topics/beach-class.page#report; http://maps.nyc.gov/beach/,"Amanda Levy, (718) 310-2729, alevy3@health.nyc.gov"
NYCWTA,NYC Water Trail Association,Citizen's Water Quality Testing Program,Water Quality,Pathogens,Enterococcus,Establishment of baseline data  correlated with rain and tide information to inform boaters and other recreational users of the harbor's water quality at access points and launch sites,Certified Lab Analysis,NYC boroughs & New Jersey - 62 sites (variable),"Initiated 2011, ongoing",Weekly (May-Sept) for 20 weeks,http://www.nycwatertrail.org/water_quality.html,"Rob Buchanan, avironvoile@gmail.com"
NJHDGamb,Passaic Valley Sewerage Commission,CSO LTCP Baseline,Water Quality,"Dissolved Oxygen, Pathogens, In Situ Parameters","Dissolved Oxygen, Fecal coliform, Enterococcus, Water Temperature, pH, Salinity, Turbidity, Transparency (secchi)",Baseline compliance monitoring,QAPP 2015,NY/NJ Harbor and tributaries - ~34 sites,"Initiated 2016, ongoing",Varies,,"Bridget McKenna, bmckenna@pvsc.com"
PVSCsour,Passaic Valley Sewerage Commission,CSO LTCP Source Sampling,Water Quality,Pathogens,Enterococcus,Source Sampling,QAPP 2016,"Passaic, Second, & Third Rivers - 4 sites","Initiated 2016, ongoing",Bi-weekly,,"Bridget McKenna, bmckenna@pvsc.com"
PVSCcso,"Passaic Valley Sewerage Commission, NJ CSO Group",CSO LTCP,Water Quality,"Dissolved Oxygen, Pathogens, In Situ Parameters","Dissolved Oxygen, Fecal coliform, Enterococcus, Water Temperature, pH",To keep abreast of CSO issues and to assist members with CSO compliance,QAPP 2015,"NY/NJ Harbor, tributaries, & select municipalities - 62 sites",2016,4 samples/location per event (3 qualifying wet weather),http://www.nj.gov/pvsc/what/njcso/,"Marques Eley, meley@pvsc.com"
QCWA,Quassaick Creek Watershed Alliance,Hudson River Tributary Water Quality Monitoring,Water Quality,Pathogens,Enterococcus,Measure fecal indicator bacteria and engage the public,QAPP,Quassaick Watershed - 14 sites,"2014, 2015, 2017",2x per month May-Oct,https://www.riverkeeper.org/water-quality/citizen-data/,"John Gebhards, gebhards@earthlink.net"
RRRTHO,Raritan River Initiative,Raritan River Real-Time Hydrological Observatory,Water Quality,"Dissolved Oxygen, In Situ Parameters","Dissolved Oxygen, Water Temperature, Salinity, Chlorophyll a, Turbidity, pH","To compliment the real time, continuous data collected by the mooring and  data collected by students, researchers and other stakeholders while onboard the R/V Rutgers",,Lower Raritan River - 1 site,"Initiated 2017, ongoing",Every 10 minutes,http://raritan.rutgers.edu/rtho/,"Rick Lathrop, lathrop@crssa.rutgers.edu"
RLT,Rensselaer Land Trust,Hudson River Tributary Water Quality Monitoring,Water Quality,Pathogens,Enterococcus,Measure fecal indicator bacteria and engage the public,QAPP,"Mill Creek, Moordener, Poesten, Quackenderry, Wynants Watersheds - 18 sites",2017,1x per month May-Oct,https://www.riverkeeper.org/water-quality/citizen-data/,"John Winter, jwinter@renstrust.org"
RKEEPHUD,Riverkeeper,Hudson River Estuary Water Quality Monitoring,Water Quality,"Dissolved Oxygen, Pathogens, In Situ Parameters","Dissolved Oxygen, Enterococcus, Water Temperature, pH, Salinity, Turbidity, Chlorophyll a",Measure fecal indicator bacteria and engage the public,QAPP,NY Harbor to Capital District - 74 sites,"Initiated 2006, ongoing","Monthly, May-Oct",https://www.riverkeeper.org/water-quality/hudson-river/; https://www.riverkeeper.org/water-quality/testing/,"Dan Shapley, dshapley@riverkeeper.org"
RKEEPeast,Riverkeeper,East River Water Quality Monitoring,Water Quality,"Dissolved Oxygen, Pathogens, In Situ Parameters","Dissolved Oxygen, Enterococcus, Water Temperature, pH, Salinity, Turbidity, Chlorophyll a",Measure fecal indicator bacteria and engage the public,CUNY Queens Laboratory,"Hells Gate to Throgs Neck, including navigable tributaries - 33 sites","Initiated 2016, ongoing","Monthly, May-Oct",https://www.riverkeeper.org/water-quality/citizen-data/east-river/,"Dan Shapley, dshapley@riverkeeper.org"
RKEEPHUDt,Riverkeeper,Hudson River Tributary Water Quality Monitoring,Water Quality,Pathogens,Enterococcus,Measure fecal indicator bacteria and engage the public,QAPP,"Upper Hudson River, Mohawk River, Catskill Creek, Esopus Creek, Roeliff Jansen Kill, Saw Kill, Rondout Creek, Wallkill River, Quassaick Creek, Pocantico River, Saw Mill River, Sparkill Creek, Bronx River - 204 sites, varies by tributary","Initiated 2011, ongoing","Monthly, May-Oct",https://www.riverkeeper.org/water-quality/citizen-data/,"Jen Epstein, jepstein@riverkeeper.org"
RCPEERS,Rockland County,Professional Stream Biomonitoring Program (PEERS),Water Quality,"Dissolved Oxygen, In Situ Parameters","Dissolved Oxygen, Water Temperature, Salinity, pH","Determine both water quality and the source of impact affecting a site, if any, based on the invertebrate community structure",QAPP 2017,Rockland County - 19 sites,"Initiated 2006, ongoing",1 sample per site each season (July-Sept); 20 samples annually,http://rocklandgov.com/departments/environmental-resources/protecting-our-streams-and-waterways/,"Nicole Laible, 845-364-2669, laiblen@co.rockland.ny.us"
RJW,Roe Jan Watershed Community,Hudson River Tributary Water Quality Monitoring,Water Quality,"Pathogens, In Situ Parameters","Enterococcus, Water Temperature, Turbidity",Measure fecal indicator bacteria and engage the public,QAPP,Roeliff Jansen Watershed - 17 sites,"Initiated 2016, ongoing",1x per month from May to October,https://www.riverkeeper.org/water-quality/citizen-data/; http://waterlab.bard.edu/,"Kaare Christian, kaare@nysite.com"
SAWKILL,Saw Kill Watershed Community,Hudson River Tributary Water Quality Monitoring,Water Quality,"Pathogens, In Situ Parameters","Enterococcus, Water Temperature, Turbidity, Chlorophyll a",Monitor water quality and engage the public,QAPP,13 sites: Saw Kill Watershed,"Initiated 2016, ongoing",1x per month,https://www.riverkeeper.org/water-quality/citizen-data/; http://waterlab.bard.edu/,"Eli Dueker, edueker@bard.edu"
SUNY,SUNY College,Hudson River Tributary Water Quality Monitoring,Water Quality,Pathogens,Enterococcus,Measure fecal indicator bacteria and engage the public,QAPP,44 sites: Mohawk Watershed,"Initiated 2017, ongoing",1x per month May-Oct,https://www.riverkeeper.org/water-quality/citizen-data/,"Barb Brabetz, BRABETBL@cobleskill.edu; Neil Law, LawNA@cobleskill.edu; Carolyn Rodak, rodakc@sunyit.edu"
SURFRIDER,Surfrider,NYC Surfrider Chapterís Blue Water Task Force,Water Quality,Pathogens,Enterococcus,Monitoring to alert citizens and officials in their communities about water quality problems,,Coney Island & Rockaway Beach - 3 sites,"Initiated 2017, ongoing",Weekly at some sites; monthly minimum,http://www.surfrider.org/blue-water-task-force/chapter/38,"Colleen Henn, chenn@surfrider.org"
EPAbeach,US Environmental Protection Agency,Beaches Environmental Assessment and Coastal Health (BEACH) Act of 2000,Water Quality,Pathogens,Enterococcus,Grant program to help local authorities conduct bacteriological monitoring of their coastal beaches and notify the public of water quality conditions,QAPP with NY State Dept. of Health,Regional public beaches,"Initiated 2004, ongoing","Weekly, but seasonal",https://watersgeo.epa.gov/beacon2/reports.html,"Helen Grebe, Grebe.Helen@epa.gov"
